word,mean_likeness,std_likeness
preferir,2.6,0.5477
tamaño,2,0
emplear,2.4,0.5477
periodo,2,0
nave,2.4,0.5477
material,2.2,0.4472
esfuerzo,2.6,0.5477
amplio,2.8,0.4472
adquirir,2.2,0.4472
tren,2.4,0.5477
error,1.2,0.4472
secreto,1.8,0.4472
universo,2.6,0.5477
desconocer,1.4,0.5477
federación,2,0
cuello,2.6,0.5477
pintura,2.6,0.5477
elevar,2.8,0.4472
ilusión,2.6,0.5477
grado,2,0
palacio,2.8,0.4472
cámara,2.6,0.5477
ruido,1.4,0.8944
listo,2.8,0.4472
economía,2,0
actualidad,2,0
proponer,2.6,0.5477
poesía,2.8,0.4472
kilómetro,2,0
callar,2,0.7071
enseñar,3,0
público,2.2,0.4472
sede,2,0
aumentar,2.4,0.5477
sorprender,2.8,0.4472
cuidar,2.8,0.4472
hospital,1.8,0.4472
ausencia,1.2,0.4472
doler,1.2,0.4472
posterior,2,0
llanto,1.4,0.5477
cápita,2,0
respirar,2.6,0.5477
marchar,1.8,0.8367
noticia,2,0
frase,2.2,0.4472
próximo,2.2,0.4472
aproximadamente,2,0
costar,2,0.7071
inicio,2.4,0.5477
izquierdo,2.2,0.4472
autoridad,2.2,0.8367
vino,2.8,0.4472
recuperar,2.4,0.5477
protagonizar,2.4,0.5477
comienzo,2.4,0.5477
influencia,2.4,0.5477
rápidamente,2.2,0.4472
habitar,2.4,0.5477
deportivo,2.6,0.5477
nación,2.8,0.4472
avión,2.6,0.5477
tranquilo,3,0
expresión,2.2,0.4472
raro,2.4,0.8944
debajo,1.8,0.4472
reducir,1.6,0.5477
diseño,2.6,0.8944
festival,2.8,0.4472
azul,2.8,0.4472
tradicional,2.4,0.5477
adelante,2.4,0.5477
cargar,1.6,0.5477
directo,2.6,0.5477
proteger,2.8,0.4472
pobre,1.4,0.5477
placer,3,0
reloj,1.8,0.4472
caricia,3,0
motor,2.2,0.4472
doctor,2.2,0.4472
presente,2.8,0.4472
completamente,2.6,0.5477
página,2.2,0.4472
playa,2.8,0.4472
robar,1,0
señalar,1.8,0.4472
totalmente,2.2,0.4472
vacío,1.8,0.8367
incorporar,2.8,0.4472
matrimonio,2.8,0.4472
capitán,2.4,0.5477
generar,2.8,0.4472
salvar,3,0
señal,2.6,0.5477
conducir,2.8,0.4472
lago,3,0
caballo,3,0
golpear,1.4,0.5477
asi,2.2,0.4472
metal,2.4,0.8944
líder,2.4,0.5477
lejano,1.6,0.5477
abrazo,3,0
daño,1,0
recoger,2.2,0.4472
consecuencia,1.8,0.4472
encender,2.6,0.5477
costumbre,2.2,0.4472
baño,2.6,0.5477
liga,2,0
religioso,1.8,0.4472
gota,2.6,0.5477
dudar,1.6,0.5477
caja,2,0
definir,2.6,0.5477
atravesar,2.2,0.4472
expresar,2.8,0.4472
medio,1.8,0.4472
ave,2.8,0.4472
soldado,1.4,0.5477
templo,2.4,0.5477
calidad,2.6,0.5477
envolver,2,0
sexo,2.8,0.4472
clima,2.4,0.5477
idioma,2.6,0.5477
torneo,2.4,0.5477
institución,2.2,0.4472
gol,2.8,0.4472
tradición,2.4,0.5477
emitir,2.4,0.5477
independiente,2.8,0.4472
puro,3,0
sabor,2.6,0.5477
lento,2.2,0.4472
afirmar,2.6,0.5477
asunto,2.4,0.5477
maestro,2.6,0.5477
asociación,1.8,0.4472
vencer,2.8,0.4472
revolución,2.8,0.4472
consistir,2.3333,0.5164
algo,2.2,0.4472
final,2.2857,0.488
descansar,3,0
funcionar,2.625,0.5175
gusto,2.5714,0.5345
concepto,2.375,0.5175
temor,1.25,0.4629
conciencia,2.375,0.5175
introducir,2.25,0.4629
hombro,2.3,0.483
rojo,2.2,0.6325
fallecer,1.2,0.4216
mamá,2.9,0.3162
oído,2.2,0.6325
geográfico,2.1818,0.603
erar,1.7143,0.488
asegurar,2.4545,0.6876
contemplar,2.6364,0.5045
esquina,2.0833,0.2887
cuanto,2.1111,0.3333
gato,2.7273,0.6467
encargar,2.1,0.3162
estadio,2.3333,0.5
curso,2.1111,0.6009
recién,2.25,0.4629
animar,2.7143,0.488
foto,2.5714,0.5345
terreno,2.2857,0.488
locura,1.8571,0.6901
corte,1.6667,0.8165
salud,2.6,0.8944
auto,2,0
temperatura,2,0
intención,2,0.6325
dividir,1.8333,0.7528
mentira,1.8333,0.9832
desnudo,2.3333,0.8165
depender,1.6,0.5477
cristal,2.4,0.5477
marcha,1.8333,0.7528
tarea,2,0.6325
